Date,Departure station,Arrival station,Route,Cancellation comments,Departure delay comments,Arrival delay comments
2018-02,RENNES,PARIS MONTPARNASSE,RENNES → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisode neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)"
2018-11,RENNES,PARIS MONTPARNASSE,RENNES → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 5 : un choc anormal sur la ligne à grande vitesse Atlantique (29 TGV retardés pour 746 minutes perdues), 
- le 7 : le heurt d'un animal sur la ligne à grande vitesse Bretgane-Pays de la Loire (23 TGV retardés pour 713 minutes perdues),  
- le 13 : des tirs de projectiles à l'entré de Paris-Montparnasse nécessitant l'interruption des circulations (13 TGV retardés pour 572 minutes perdues), 
- le 14 : la panne d'un TGV sur la ligne à grande vitesse Atlantique (23 TGV retardés pour 319 minutes perdues), 
- le 22 : un dérangement d'installation à Dollon (17 TGV retardés pour 187 minutes perdues), 
- le 24 : des dérangements d'installation et de passages à niveau dû à des actes de malveillance vers Le Mans (9 TGV retardés pour 193 minutes perdues),
- le 27 : un arrachement caténaire par un TER avant Le Mans (16 TGV retardés pour 337 minutes perdues),
- le 30 : un incident caténaire sur la ligne à grande vitesse Atlantique (40 TGV pour 1041 minutes perdues) et l'incendie d'un camion citerne avec un risque d'explosion à proximité de la ligne à grande vitesse Atlantique (25 TGV retardés pour 829 minutes perdues)."
2018-12,RENNES,PARIS MONTPARNASSE,RENNES → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
-le 2 : un dérangement sur un  passage à niveau à Bruz (4 TGV impactés pour 112 minutes perdues). 
- le 4 : un dérangement d'installation sur la ligne à grande vitesse Atlantique (22 TGV impactés pour 466 minutes perdues), 
- le 6 : un dérangement d'installation vers Connerré nécessitant une limitation de vitesse (17 TGV impactés pour 193 minutes perdues), 
- le 14 : un incident caténaire à Vannes (9 TGV impactés pour 199 minutes perdues),
- le 18 : un incident caténaire à l'entrée de Paris-Montparnasse (79 TGV impactés pour 1034 minutes perdues),
- le 25 : un heurt de sanglier sur la ligne à grande vitesse Atlantique (29 TGV impactés pour 2082 minutes perdues),
- le 27 : un heurt d'animal entre Redon et Rennes (3 TGV impactés pour 230 minutes perdues)."
2018-07,RENNES,PARIS VAUGIRARD,RENNES → PARIS VAUGIRARD,,,"Incendie FRET, dérangement d'installation, attente matériel roulant, heurt d'animal, difficultés réception sous gare, soin matériel roulant, disjonctions, accident RTE / Rupture d'alimentation PMP"
2018-07,SAINT ETIENNE CHATEAUCREUX,PARIS LYON,SAINT ETIENNE CHATEAUCREUX → PARIS LYON,,,"•tension sur le parc matériel à Paris Gare de Lyon : 19 TGV retardés pour 539 min, 7 TGV de l’axe perdus à 5’"
2019-02,SAINT ETIENNE CHATEAUCREUX,PARIS LYON,SAINT ETIENNE CHATEAUCREUX → PARIS LYON,,,Accidents de personne
2018-02,ST MALO,PARIS MONTPARNASSE,ST MALO → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants: 
Le 3 : Avarie à la caténaire à l’entrée de la gare de Paris Montparnasse (46 TGV ; 476mn)
Le 6 : épisode neigeux sur toute la France (187 TGV ; 18980mn ; 23 suppressions)
Le 7 : épisode neigeux sur toute la France (134 TGV ; 6294mn ; 77 suppressions)
Le 8 : épisode neigeux sur toute la France (166 TGV ; 2814mn ; 30 suppressions)
Le 9 : épisobe neigeux sur toute la France (151 TGV ; 2830mn ; 15 suppressions)
Le 15 : Incident caténaire à l’entrée de la gare de Paris Montparnasse (78 TGV ; 2349mn ; 15 suppressions)
Le 15 : Dérangement d’installation sur la ligne grande vitesse (22 TGV ; 672mn)
Le 21 : Présences de Chèvres aux abords de la ligne grande vitesse à Marcoussis (15 TGV ; 292mn)
Le 21 : Avarie Matérielle sur la ligne grande vitesse au niveau de St Leger (62 TGV ; 2150mn)
Le 28 : Bâche dans la caténaire à l’entrée de la gare de Paris Montparnasse (28 TGV ; 605mn)"
2018-04,ST MALO,PARIS MONTPARNASSE,ST MALO → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par la grève (12 journées sur le mois) ainsi que  par les incidents suivants :
- du 10 au 16 : un défaut de nivellement de la voie à Pontchaillou - ligne Rennes/St Malo -  a nécessité une réduction de la vitesse trains (34 TGV retardés pour un total de 785 minutes perdues);
- le 5 : un dérangement des installations  (23 TGV pour 387 minutes perdues) et le heurt d'un blaireau sur la  ligne à grande vitesse Atlantique (11 TGV pour 322 minutes perdues)  ;
- le 6 : un dérangement des installations sur la Ligne à Grande Vitesse Atlantique (16 TGV retardés pour 295 minutes perdues) et l'évacuation de la gare de Rennes suite à l'incendie d'un camion à proximité (8 TGV retardés pour 229 minutes perdues) ;
- le 16 : défaillance d'un Transilien entraînant une absence d'alimentation électrique en région parisienne (25 TGV  pour 493 minutes perdues) ;
- le 27 : heurt d'un chevreuil par un TGV sur la ligne à grande vitesse Atlantique (33 TGV poru un total de  1163 minutes perdues) et un incident caténaire en sortie de Paris Montparnasse (32 TGV retardés pour un total de 410 minutes perdues) 
- le 30 : présence d'une personne dans les voies en sortie de Paris Montparnasse (36 TGV pour un total 380 minutes perdues)"
2019-05,ST MALO,PARIS MONTPARNASSE,ST MALO → PARIS MONTPARNASSE,,,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 1 : des manifestants gilets jaunes en gare de Brest  (5 TGV impactés pour 122 minutes perdues) et une défaillance matériel en gare de Rennes (5 TGV impactés pour 132 minutes perdues), 
- le 9 : un dérangement d'installation entre Massy et Valenton (16 TGV impactés pour 1041 minutes perdues),
- le 14 : une défaillance matériel d'un TGV sur la Ligne à Grande Vitesse Atlantique (14 TGV impactés pour 285 minutes perdues),
- le 20 : un heurt de chevreuil sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 568 minutes perdues) et un TGV heurte un bélier vers Plouaret (3 TGV impactés pour 75 minutes perdues), 
- le 22 : un défaut d'alimentation électrique entre Rennes et Redon (15 TGV impactés pour 604 minutes perdues), 
- le 23 : une restitution tardive de travaux sur la Ligne à Grande Vitesse Atlantique (34 TGV impactés pour 911 minutes perdues), 
- le 29 : deux bagages abandonnés dans un TGV à Montpellier (3 TGV impactés pour 339 minutes perdues)."
2018-01,ST PIERRE DES CORPS,PARIS MONTPARNASSE,ST PIERRE DES CORPS → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
Le 1er : Tempête Carmen sur la façade Atlantique  (52 TGV ; 1079mn)
Le 3 : Tempête Eleonor sur l’ouest de la France (35 TGV ; 407mn)
Le 5 : Dérangement d’une aiguille en gare de Massy TGV (57 TGV ; 1254mn)
Le 7 : Dérangement du poste d’aiguillage de Paris Montparnasse (70 TGV ; 1490mn)
Le 12 : Colis suspect en gare de Paris Montparnasse (32 TGV ; 499mn)
Le 17 : Dérangement du poste d’aiguillage de Paris Montparnasse (26 TGV ; 386mn)"
2018-03,ST PIERRE DES CORPS,PARIS MONTPARNASSE,ST PIERRE DES CORPS → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
le 1er : une limitation de la vitesse des trains sur la ligne à grande vitesse suite aux conditions climatiques (28 TGV pour un total de 605 minutes) ; 
le 6 : dérangement des installations sur la ligne à grande vitesse Atlantique (23 TGV pour un total de 461 minutes)
le 12 : un accident de personne en sortie de la gare de St Pierre-des-Corps (18 TGV pour un total de 945 minutes) ;
le 15 : un problème technique sur une rame sortant du chantier de Montrouge perturbe les entrées/sorties en gare de Paris Montparnasse (25 TGV retardés pour un total de 536 minutes)
le 20 : un accident de personne sur la ligne à grande vitesse Atlantique (47 TGV retardés pour 3028 minutes) ;
le 27 : un dérangement des installations à Massy - en région parisienne - (34 TGV retardés pour 736 minutes)"
2018-04,ST PIERRE DES CORPS,PARIS MONTPARNASSE,ST PIERRE DES CORPS → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par la grève (12 journées sur le mois) ainsi que  par les incidents suivants :
- le 5 : un dérangement des installations  (23 TGV pour 387 minutes perdues) et le heurt d'un blaireau sur la  ligne à grande vitesse Atlantique (11 TGV pour 322 minutes perdues)  ;
- le 6 : un dérangement des installations sur la Ligne à Grande Vitesse Atlantique (16 TGV retardés pour 295 minutes perdues) ;
- le 16 : défaillance d'un Transilien entraînant une absence d'alimentation électrique en région parisienne (25 TGV  pour 493 minutes perdues) ;
- le 27 : heurt d'un chevreuil par un TGV sur la ligne à grande vitesse Atlantique (33 TGV poru un total de  1163 minutes perdues) et un incident caténaire en sortie de Paris Montparnasse (32 TGV retardés pour un total de 410 minutes perdues) 
- le 30 : présence d'une personne dans les voies en sortie de Paris Montparnasse (36 TGV pour un total 380 minutes perdues)"
2018-08,ST PIERRE DES CORPS,PARIS MONTPARNASSE,ST PIERRE DES CORPS → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 2 : une restitution tardive de travaux sur la ligne à grande vitesse Atlantique (10 TGV retardés pour 108 minutes perdues), 
- le 3 : un choc anormal dans le tunnel de Massy (71 TGV retardés pour 2549 minutes perdues), 
- le 7 : une personne dans les voies à Massy (10 TGV retardés pour 234 minutes perdues). 
- le 18 : un incident caténaire à la sortie de Paris-Montparnasse  (46 TGV retardés pour 1438 minutes perdues),
- le 19 : une restitution tardive de travaux (renouvellement des appareils de voies) sur la ligne à grande vitesse Atlantique (22 TGV retardés pour 760 minutes perdues), 
- le 26 : une défaillance matériel d'un TGV entre St-Pierre-des-Corps et Vendôme (17 TGV retardés pour  286 minutes perdues),
- le 28 : un colis suspect à bord d'un TGV au niveau de Vendôme (11 TGV retardés pour 217 minutes perdues), 
- le 31 : incident caténaire à Maillé, près de Poitiers (11 TGV pour 1192 minutes perdues) et défaillance matériel d'un TGV sur la ligne à grande vitesse Atlantique (41 TGV retardés pour 621 minutes perdues)."
2018-09,ST PIERRE DES CORPS,PARIS MONTPARNASSE,ST PIERRE DES CORPS → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 4 : un rail cassé à l'entré de Paris-Montparnasse  nécessitant une limitation de vitesse sur la zone (60 TGV retardés pour 648 minutes perdues), 
- le 12 : une  aiguille défaillante à l'entrée de Paris-Montparnasse  nécessitant une limitation de vitesse (44 TGV retardés pour  364 minutes perdues) , 
- le 19 : un incident caténaire dans le tunnel de Massy (28 TGV pour 613 minutes perdues),  
- le 25 : un décontrôle d'aiguille vers St-Pierre-des-Corps empêche la circulation des TGV de la ligne à grande vitesse Atlantique vers la ligne à grande vitesse St-Pierre-des-Corps - Bordeaux ( 16 TGV pour 387 minutes perdues),  
- le 26 : un bagage abandonné dans un TGV à Paris-Montparnasse impose un périmètre de sécurité sur plusieurs voies de départ (11 TGV pour 174 minutes perdues), 
- le 27 : une défaillance matériel d'un TGV sur la ligne à grande vitesse Atlantique (25 TGV pour 602 minutes perdues) et un dérangement des installations vers Maillé, entre St-Pierre-des-Corps et Poitiers (9 TGV pour 171 minutes perdues)."
2018-10,ST PIERRE DES CORPS,PARIS MONTPARNASSE,ST PIERRE DES CORPS → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 9 : une restitution tardive de travaux  à St-Pierre-des-Corps (13 TGV retardés pour 101 minutes perdues), 
- le 10 : une défaillance électrique entre Massy et Marcoussis (23 TGV retardés pour  308 minutes perdues) , 
- le 11 : une restitution tardive de travaux suite à la panne d'un train de travaux sur la ligne à grande vitesse Atlantique (21 TGV pour 431 minutes perdues),  
- le 15 : une personne dans les voies à St-Cyr  du Gaultsur la ligne à grande vitesse Atlantique nécessite l'interruption des circulations ( 32 TGV pour 620 minutes perdues),  
- le 23 : une  défaillance matériel d'un TGV entre Poitiers et Angoulême (16 TGV pour 131 minutes perdues),
- le 24 : un défaut d'alimentation électrique sur la ligne à grande vitesse Atlantique (40 TGV pour 1025 minutes perdues)."
2018-11,ST PIERRE DES CORPS,PARIS MONTPARNASSE,ST PIERRE DES CORPS → PARIS MONTPARNASSE,,,"Ce mois-ci, l'OD a été touchée par les incidents suivants :
- le 5 : un choc anormal sur la ligne à grande vitesse Atlantique (29 TGV retardés pour 746 minutes perdues), 
- le 6 : la panne d'un train de marchandises à St-Pierre-des-Corps (12 TGV retardés  pour 434 minutes perdues),
- le 9 : le heurt d'un animal entre Angoulême et Poitiers (9 TGV retardés pour 577 minutes perdues), 
- le 13 : des tirs de projectiles à l'entré de Paris-Montparnasse nécessitant l'interruption des circulations (13 TGV retardés pour 572 minutes perdues), 
- le 14 : la panne d'un TGV sur la ligne à grande vitesse Atlantique (23 TGV retardés pour 319 minutes perdues), 
- le 21 : une fuite de matières dangereuses sur un train de marchandises à Angoulême entraînant l'interruption des circulations (9 TGV retardés pour 294 minutes perdues), 
- le 30 : un incident caténaire sur la ligne à grande vitesse Atlantique (40 TGV pour 1041 minutes perdues) et l'incendie d'un camion citerne avec un risque d'explosion à proximité de la ligne à grande vitesse Atlantique (25 TGV retardés pour 829 minutes perdues)."
2019-06,ST PIERRE DES CORPS,PARIS MONTPARNASSE,ST PIERRE DES CORPS → PARIS MONTPARNASSE,,,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 7 : sur l'ensemble des régions les conséquences du passage de la tempête Miguel (arbres sur les voies, limitations de vitesse...) (110 TGV impactés pour 10230 minutes perdues), 
- le 9 : un bagage oublié dans un TGV nécessite un arrêt exceptionnel à Massy TGV (11 TGV impactés pour 316 minutes perdues),
- le 10 : un bagage oublié en gare de Bordeaux (23 TGV impactés pour 967 minutes perdues),
- le 11 : un incident éléctrique vers Vendôme sur la Ligne à Grande Vitesse Atlantique perturbe l'ensemble des circulations TGV (127 TGV impactés pour 11356 minutes perdues) et un heurt de  chevreuil sur la Ligne à Grande Vitesse Atlantique (8 TGV impactés pour 431 minutes perdues),
- le 12 : un dérangement d'installation sur la Ligne à Grande Vitesse Atlantique (39 TGV impactés pour 1164 minutes perdues), 
- le 13 : une panne d'un OUIGO à la sortie de Paris-Montparnasse  (20 TGV impactés pour 309 minutes perdues), 
- le 14 : un heurt de cerf sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 630 minutes perdues), 
- le 16 : présence d'une personne aux abords des voies sur la Ligne à Grande Vitesse Atlantique (34 TGV impactés pour 1337 minutes perdues),
- le 21 : une panne d'un TGV sur la Ligne à Grande Vitesse Atlantique (17 TGV impactés pour 177 minutes perdues), 
- le 25 : une incendie aux abords des voies vers Monts (14 TGV impactés pour  655 minutes perdues), 
- le 26 : un dérangement d'installation vers St-Pierre-des-Corps dû aux fortes chaleurs (27 TGV impactés pour 450 minutes perdues),
- le 27 : un incident électrique au nord de St-Pierre-des-Corps (16 TGV pour 459 minutes perdues),
- le 28 : le heurt d'un chevreuil sur la Ligne à Grande Vitesse Atlantique (51 TGV impactés pour  2160 minutes perdues)."
2019-07,ST PIERRE DES CORPS,PARIS MONTPARNASSE,ST PIERRE DES CORPS → PARIS MONTPARNASSE,,,"Ce mois ci, la destination a été marquée par les incidents suivants : 
- le 1er : la panne d'un TER à l'entrée de Paris-Montparnasse (7 TGV impactés pour 269 minutes perdues), 
- le 3 : un bagage abandonné dans un TGV impose un arrêt exceptionnel à Massy TGV pour l'intervention des équipes de déminage (26 TGV impactés pour 256 minutes perdues),
- le 8 : un incident électrique au sud de Bordeaux (26 TGV impactés pour 3352 minutes perdues),
- le 15 : un heurt de chevreuil sur la ligne à grande vitesse Atlantiqe (25 TGV impactés pour 1009 minutes perdues),
- le 19 : un heurt de chevreuil entre Angoulême et Poitiers (7 TGV impactés pour 390 minutes perdues),
- le 22 : des limitations de vitesse imposées par les fortes chaleurs en Nouvelle Aquitaine (14 TGV impactés pour 365 minutes perdues),
- le 23 : des limitations de vitesse imposées par les fortes chaleurs en Nouvelle Aquitaine (38 TGV impactés pour 1087 minutes perdues)  et plusieurs départs de feux déclanchés par un train de marchandises au sud de Bordeaux (7 TGV impactés pour 1601 minutes perdues),
- le 28 : un défaut technique sur la voie sur la ligne à grande vitesse Atlantique (45 TGV impactés pour 1217 minutes perdues)."
2018-05,STRASBOURG,NANTES,STRASBOURG → NANTES,,,"02/05: 5488 ? Problème de coupe à CGV (35’)
17/05: 5487 ? Attente correspondance à MVC (25’)
21/05: 5488 ? Problème/instabilité boggie (VL 270) + LTV inopinée coté ATL (25’)
22/05: 5488 ? Dérangement installations (7’)
25/05: 5487 ? Csq accident de personne (8’)  + 5488 ? Intervention PAF  (6’)
27/05: 5488 ? Incident caténaire (87’)
30/05: 5488 ? Intervention police + sac abandonné (malveillance) (65’)"
2018-06,STRASBOURG,NANTES,STRASBOURG → NANTES,,,"01/06 : Réutilisation rame du 20180 ? 5488 (29‘) + intervention police au Mans? 5487 (5’)
04/06 : Csq LTV inopinée à Sablé ? 5487 (5’) et 5488 (5‘) + attente correspondance TER à CGV ?  5470 (5‘) et espacements (9’) + csq personnes aux abords des voies ? 5488 (5’)
05/06 : Pb climatisation à Angers ? 5488 (6’)
06/06 : Pb ADC inapte au matériel ? 5470 (16‘) et 5487 (16‘) + Dérangement de zone à Meuse ? 5488 (5’)
09/06 : Attente ASCT dans 5487 ? 5470 (5‘)
10/06 : BM isolé sur 5470 (16’) et csq sur 5487 (5’) + incident caténaire à Marcoussis? 5488 (44‘) + défaut de signalisation sur 5487 (10’)
11/06 : 5488? retard sur un autre réseau (5‘) et csq incident caténaire à Lesse (86’) et csq intempéries à St Nazaire (28’) + 5487 ?obstacles sur les voies (20’) et  coupe lente au mans (5’) + 5470 ? Csq intempéries à St Nazaire (5’) et non-respect marche tracée (6’ et 11’)
14/06 : 5470? Déclenchement DBC (18’) + 5488? Défaut de liaison à Saverne (55’)
15/06 : LTV à Sablé ? 5488 (5‘) + Raté ouverture PN ? 5470 (5’)
16/06 : Csq défauts techniques ? 5470 (14‘) + LTV à Sablé (5’)
20/06 : 5488 ? Csq Intervention police à SG (8’) + Dérangement d’installation (31’) +  Csq rame HS à Paris M (14‘) 
21/06 : Attente matériel pour 5487 (5’) et Csq raté ouverture PN pour 5470 (12’)
24/06 : Espacements suite à affluences voyageurs et pb pour monter rame à Paris Montparnasse ? 5488 (11’) + Csq dérangement sémaphore à Ecouflant ? 5470 (5’) + LTV à Sablé ? 5487(5’)
25/06 : Csq dévoiement inopiné à Gennevilliers ? 5488 (8’) + Attente correspondance TER à CGV (7’)
26/06 : 5488? Csq refus ASCT d’embarquer une personne blessée sur 9894 (45’) + Attente correspondance à MVC (5’) + LTV à Sablé (7’) + 5470? LTV inopinée à Tiercé (5’)
29/06 : défaut fermeture porte sur 5470 à SG (6’) + 5487 (5’)
30/06 : 5487 ? LTV inopinée à Tiercé (5’) + LTV à Sablé (5’)"
2018-07,STRASBOURG,NANTES,STRASBOURG → NANTES,,,"02/07 : 5488? Csq défaut d’alimentation sur 8367 à Massy (11’) + Dérangement de zone à Montrouge (13’) +  5487 et 5470? Csq affluence voyageurs à Massy (5’)
03/07 : 5488? Csq raté ouverture PN à Arras (12’)
04/07 : 5488? Csq accident de personne à Hattencourt (5’) + Csq décontrôle d’aiguille à Montauban (18’) + 5470? Attente correspondance à CGV (8’)
05/07 : 5488? Attente matériel à CGV (15’)
08/07 : 5488? Espacement csq personne aux abords des voies à Messac-Guipry (6’)
09/07 : 5488? Attente personnel  - Conducteur mal commandé par Rennes (29’)
13/07 : 5470?Dérangement SI – Pb Galite (11’)
15/07 : 5470?Travaux restitution tardive à CMR (7’)
16/07 : Csq dérangement DBC à Antony ? 5487 (29’) + 5470 (27’)
20/17 : 5488?Csq affluence voyageur à CGV (25’) + 5470? Attente matériel roulant à SG (13’)
21/07 : Csq inondation voie entre Corgoloin et Nuits Saint Georges ?5470 (5’) + 5487 (7’)
25/07 : 5488? Défaut d’alimentation à Wissous (24’)
26/07 : 5488? Arrêt exceptionnel à Meuse + csq (32’) + 5470?Csq dérangement installation de signalisation à Louvigné-de-bais
27/07 : 5488? Csq défaillance rame 536 du 5441 – croisement rame (16’) + incident Montparnasse (15’) 
28/07 : Csq incident Montparnasse? 5487 (23‘) + 5470 (11‘)
29/07 : 5488? Csq pb fermeture porte sur rame 9894 à Lorraine (15’) + Csq Montparnasse (12’) + 5470?Dépeche DBC Wissous HS (11’)
30/07 : Csq Incident Montparnasse? 5470 (5‘) + 5488 (11‘) + Alarme module BREHAT : liaison non doublée HS? 5470 (8‘) et 5487 (5‘) + Csq attente correspondance (annulée) à SG? 5488 (26’)"
2018-10,STRASBOURG,NANTES,STRASBOURG → NANTES,,,"02/10 : 5488? Incident caténaire (6’)
05/10 : 5488?Affluence voyageurs à Lorraine (26‘)
09/10 : 5488?Retard autre réseau (25‘)
11/10 : 5488?Retard autre réseau (30‘)
12/10 : 5488?Heurt animal à Noyen (22‘) + Dérangement installation à Reims (33’) + 5487?Colis suspect à Roissy (19’) 
15/10 : 5488? Personne dans les voies à Voivres + incident porte (23’) 
16/10 : 5488?Retard autre réseau (15’)
19/10 : 5488?Contrôle PAF à FB (9’)
21/10 : 5488? 1 BM isolé (22’)
25/10 : 5488? Détection incendie à Beuvardes (33’)
28/10 : 5488? Choc animal à Voivres (21’) + Attente service voyageur à Lorraine (15’)
30/10 : 5488?1 BM isolé (21’)
31/10 : 5488? Attente ADC + soin matériel roulant (26‘)"
2019-01,STRASBOURG,NANTES,STRASBOURG → NANTES,,,"Csq collisions animaux (4 TGV impactés pour 82’, 74’, 8’ et 24’)
Alerte à la bombe en gare de Strasbourg (2 TGV impactés pour 18’ et 31’) 
Obstacles sur les voies suite à personne dans les voies ainsi que suspicion de heurt (2 TGV pour 41’ et 10’)
Csq défaut technique sur matériel roulant du à BM isolé et demande de secours (2 TGV impactés pour 62’ et 18’)
Csq Arrêt exceptionnel suite intervention pompier (1 TGV impacté pour 13’)
Attente matériel suite remaniement rame à Strasbourg pour porte HS (1 TGV pour 26’)"
2019-02,STRASBOURG,NANTES,STRASBOURG → NANTES,,,"Attente exécution du service voyageur (intervention police, affluence voyageur), 3 trains impactés 
Attente matériel et dédoublement du 5488 à SG et à MLV, 2 trains impactés
Soin matériel roulant (signal d’alarme, pb essais ADC, pb fermeture portes, application guide), 7 TGV impactés 
Personnes aux abords des voies, 2 TGV impactés"
2019-05,STRASBOURG,NANTES,STRASBOURG → NANTES,,,"2 attentes de matériel le 3 et le 29 pour 10 minutes de retard à chaque fois.
Heurt de chevreuil à plusieurs reprises le 5, le 15 et le 20, pour 20 minutes de retard moyen.
Talonnage de l'aiguille suite à l'intervention de l'équipe SE le 9, impact sur 5487 pour 140 minutes de retard.
Déclenchements DCV, circulation  détournés et rétention à Massy, 5488 et 5487 impactés pour 69 et 31 minutes. 
Alarme DBC le 12 pour 14 minutes de retard sur le 5488."
2019-06,STRASBOURG,NANTES,STRASBOURG → NANTES,,,"Plusieurs défauts d’alimentation : Csq sur 5487 de perte d’alimentation électrique à Yerre (59 minutes de retard), pb caténaire au Mans le 08 (impact 5487 pour 29 minutes), incident caténaire à St Cyr le 11 qui impacte le 5487 et 5488 pour 179 et 59 minutes de retard et pb d’alimentation à SPDC le 27 impactant le 5488 (13 minutes). 
Divers dérangements d’installations : Décontrole d’aiguille le 03, dérangement de zone à Le Porage le 25 et pb de tension à Chauconin, intervalle en non libération au Mans.
Absence de contrôle des aiguilles à Choisy.
Soin matériel roulant sur 5488 les 19 et 27 juin. 
1 alerte à la bombe le 02 a retardé le 5487 de 43 minutes, 1 pb d’accès PSH a retardé le 5488 le 17.
Un raté d’ouverture PN le 03 ainsi qu’un espacement volontaire du conducteur le 26, ont impacté le 5488 de 11 et 16 minutes."
2018-12,STRASBOURG,PARIS EST,STRASBOURG → PARIS EST,,,"01/12 : 2430 ? Alarme incendie dans le tunnel de SNE (65’) + 2350? Zone en non libération (30‘)
02/12 : 2364? Problème de contrôle de fermeture de portes (36’) + 2450? Difficulté de réception (8’)
03/12 : 2356? Retard sur un autre réseau (9‘)
04/12 : 2356? Csq  compresseur HS sur 831396 (6’) + APAD (12’)
06/12 : 2350? Retard sur un autre réseau (11‘) 
07/12 : Absence de tension à CGV? 2364 (28’), 2450 (98’), 2470 (82’) + Collision Renard ?2450 (29’) et 2364 (23’) + 2364? Franchissement signal fermé à CGV (214’) + 2350? Dérangement installations signalisation (9‘)
08/12 : 2356 ? Pb freins au moment du départ (7‘)
09/12 : 2450 ? Croisement rame à SG (13’) + 2364 ? csq sortie tardive TEE (68’) + Attente personnel pour jumelage à SG (10‘) + 2352?Pb signalisation avant (12’)
10/12 : 2362? Alerte radio du 839129 ayant franchi le C3301 fermé (7’) + 2404? Csq affluence voyageur à Meaux  (6’)
11/12 : 2362?Incendie aux abords des voies à Vieux Lixheim  (27’)  + 2404? Répétition signaux fermés à Gagny (7’)
12/12 : 2362? Attente Fahrplan allemand (20‘) + 2454? Incident lié aux portes à SG (77‘) + 2430? Sortie tardive TEE (6’) 
13/12 : 2430? Croisement rame à SG (28’)
16/12 : 2352? LTV suite intempéries (15’)
17/12 : 2362? Difficulté mise en UM (10’) + 2356? Csq descente tardive TEE (7’)
18/12 : 2404? Intervalle en non libération (31’) + attente correspondance (7’) + 2350 ? Décontrôle aiguille à Livry-Louvercy (32’) + 2362 ? Csq affluences voyageurs et nombreux bagage à SG (7’)
19/12 : 2430? Accident de personne (24’)
20/12 : 2404? Difficulté mise en vitesse (6‘)
21/12 : 2404?Travaux restitution tardive (10‘)
23/12 : 2450? Retard autre réseau (15’)
28/12 : 2404? Composition inversée de la rame (15’) + 2470? Dérangement installation de signalisation (7‘)"
2019-01,STRASBOURG,PARIS EST,STRASBOURG → PARIS EST,,,"Soin matériel, notamment instabilité bogie, problème de loc  (4 TGV pour 10’, 40’, 12’ et 10’)
Attentes correspondances (3 TGV impactés pour 9’, 8’ et 6’)
Csq dérangement d’installation, cascade de feu à Chelles (3 TGV pour 8’, 17’ et 18’)
Attente exécution du service voyageur suite détection incendie dans la rame du 9572 (18’)
Csq détresse sur ligne d’un TER, demande de secours par le conducteur (7’)
Heurt d’animal (7’)
Perte de temps suite LTV programmée entre Stéphansfeld et VHM (7’)"
